ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0160,1,0,냄새나는거 버렸다 한번씩 열면 올라오는냄새에 깜짝 놀랄정도로 냄새가 밖으로 안나와요비슷한것들 저렴한것도 있는데 이거 사길 잘했어요,디자인은 심플 용량은 중사이즈 바나나 껍질 10개정도 들어가면 풀 뚜껑 슬라이딩감은 썩 부드럽진 않음,편해요,냄새가 하나도 안나요,오랜시간 기달려서 주문하고 받았는데 새집에 잘어울려요,,,,,
ANAL-211104-0160,0,1,쓰레기통,음식물,크게,있어,자체,3.4,2.16,1.82,1.47,1.21
ANAL-211104-0160,1,1,디자인넘깔끔해서좋아요본가에서 부모님 사용하면 좋을것같아서 구매해드렸어요추석에 방문해서 봤는데 거는것도 쉽게 걸 수 있구 쓰레기봉투도 동봉되어있는것같더라구요,싱크대에 걸고 사용할 수 있어서 쓰레기를 바로바로 버리기 편하고 좋아요,모던자취방의완성자취방에 쓰레기통이 베란다에있어서그냥 씽크대에 비닐봉지 걸어놓고 사용했엇는데좋은거 발견해서 일단 구매해봤어요생각보다 대만족중입니다사진에는 저희고양이 특별출연쓰무게감도 있고 음식물 쓰레기 냄새도 안나게 위에 뚜껑도 잘 밀폐되네요디자인도 이쁘고 너무좋아요,가뜩이나좁은싱크대이젠음쓰봉따로보관가능너무 마음에 듭니다싱크대에 걸어놓았는데 설거지할때 음식물쓰레기에 물이 들어갈 걱정없어서 좋구요설거지 공간을 온전히 그릇과 컵한테 내어줄 수 있어서 좋아요그리고 쓰레기통 안에 쓰레기봉투가 있네요,크게 도움이 될지는 좀 더 지켜봐야 하겠지만요 비닐도 밑에 넣어뒀다가 그때그때 뽑아 쓸 수 있어 좋아요,,,,,
ANAL-211104-0006,0,0,배송,너무,코알라,좋네요,좋아,2.43,1.83,1.66,1.65,1.14
ANAL-211104-0006,1,0,저희집  강아지 통로를위해구매했는데   생각보다 너무좋아요튼튼하고   귀엽기까지  빈틈조절하기 좋네요,빠른배송,너무 예쁘고 실용적이에요,바람불어도 틈이 생겨서 닫혀서 좋아요,문틈에일자로붙이는것도사용해봤는데  이게훨씬간편하고좋은것같아요,,,,,
ANAL-211104-0006,0,1,좋아요,문에,너무,좋네요,문이,4.64,3.7,3.0,2.92,2.91
ANAL-211104-0006,1,1,급하게 필요해서 로켓으로 시켰어요,생각보다 튼튼하고 문에 낄때 짱짱하고 좋네요,그런데 색깔이 노랗고 귀여운 모양이라 그런지 오히려 문 주변에 매달려서 빼달라고해서 덜 사용하게 돼요개인적으로 무늬없이 무난한모양이 더 좋을듯 해요,아직까지 부러진것 없이 잘쓰고 있어요,아기있는집필수품첨엔 방문 쾅다되는게 걱정되서 샀는데 문열어놓고 환기시키고 할때 아기가 경첩이라고 하나요,,,,,
ANAL-211104-0237,0,0,샘플,있어서,생각보다,좋아요,좋았어요,6.67,2.27,2.06,2.03,1.89
ANAL-211104-0237,1,0,받아보고 미관상 좋진 않았지만 샘플 덕분에 매트를 잘 비교했습니다,윗면 복원력이 어느정도 있는 제품이라 좋네요,샘플잘받았습니다,대신 복원력이 떨어지고 손톱에도 쉽게 자국이 남아요,샘플을 이렇게 큰사이즈로 주시다니 좋네요,,,,,
ANAL-211104-0071,0,0,모기,좋아요,아직,너무,아기,10.55,9.52,8.85,6.77,4.89
ANAL-211104-0071,1,0,어차피 디자인때문에 샀으니 이것만으로도 5점 충분하다고 생각합미댜,아직 사용전이긴한데 디자인 너무 귀여워요,어제도착했어요,아이들꺼 두개 구매하면서 조카도 선물로 주려고 같이 샀어요,산소갈때도 써보고 밭일 할때도 썼는데 확실히 효과있어요,,,,,
ANAL-211104-0071,1,1,어떻게 이럴수있죠 팔찌를 시켰더니 리필만 와서 두번을 교환했는데 마지막까지 리필만 오네요 팔찌는 아예 안주시는 건가요 이제포기하고 취소합니다 세번이나 같은 리필만 오다니 정말 충격적이네요,기여움이 다했다나따시 20대 여자임일하는 회사에 모기가 너무 많아서 스트레스 받다가 시켰는데향도 좋고 너무너무너무너무 귀엽따팔찌로 찬 팔은 확실히 모기가 안물림거기빼고 다 물림아가는 작으니까 전체가 안물릴 수도 있겠다 싶기는 함너무 기여워서 귀여운걸로 회사 언니들 다 영입함,,,,,,,,
ANAL-211104-0030,0,0,좋아요,먼지,의자가,부드럽게,않고,4.56,2.29,2.28,2.26,1.2
ANAL-211104-0030,1,0,SAFE4U 먼지가 붙지않는 불소수지 의자발캡 원형25mm 새로 구입한 바체어가 움직일때마다 소리가 크게 나서 폭풍검색 후 구입했습니다,제품 깔끔하고 좋네요크기도 딱 맞고 바닥 스크래치 방지를 위해 샀는데 의자 밀 때 소리도 나지 않고 좋습니다,미끄럽지도 않고 잘 사용할 수 있습니다,의자가 얼음빙판에 있는것처럼 미끄러져요,기존에 쓰고 있었던거라 상품성은 알고 있었습니당 일단 소리도 안나고 부드럽게 밀리고 먼지 안붙는게 제일 좋아요,,,,,
ANAL-211104-0030,0,1,좋아요,,,,,1.3,,,,
ANAL-211104-0030,1,1,굿주방바닥이 타일이라 일반소음방지는 오히려 의자가 너무 안끌려서안움직여서힘들었는데 이건 잘 움직이고 소음도 방지되서 좋아요,먼지가달라붙지않는소재가좋은제품입니다의자발 커버에 먼지가 달라붙지 않고 커버 밑면을 매끄러운 소재를 사용해서 의자를 밀거나 당길때 뻑뻑하지 않아서 편하고 좋아요,,,,,,,,
ANAL-211104-0092,0,0,좋아요,전선,,,,1.37,1.0,,,
ANAL-211104-0092,1,0,작은 컴퓨터 선이라 이정도만 구입해도 충분하네요,괜찮네요,,,,,,,,
ANAL-211104-0092,0,1,좋아요,깔끔하게,전선,너무,정리,3.77,3.39,2.94,2.9,2.47
ANAL-211104-0092,1,1,전선이 안보이니 속이 다 후련합니다,여기만있는줄안고 샀는데 생각보다 오프라인에서 많이파네요,스티커아쉽나머지는만족간단하게 잘라서 쓸수있는 상품이고 샤진에 보이는 무늬는 뚜껑에 스티커처럼 붙혀져있더군요,업소에서 사용중입니다크기가 좀 있는 편이라 받아보신 후 자를 수 있는 공구가 있으신 분들은 지르시고 그렇지 않으신 분들은 꼭 설치할 곳의 사이즈를 측정 후 구입하시기 바랍니다,좀 큰 전선 콘센트 전선 두개 넣으면 딱 맞는 크기에요밑에 접착이 너무 세면 바닥 망가질까봐 걱정 했는데 정말 접착이 그냥 그래서 오히려 더 맘에 들어요없는것 도 아니고 살짝만 자리 유지 하는 정도에요,,,,,
ANAL-211104-0140,0,0,좋아요,튼튼,아주,너무,설치,3.0,2.1,2.07,1.38,1.2
ANAL-211104-0140,1,0,튼튼하고 좋아요,없는것 보다야 낫겠죠못없이 설치 가능한게 좋아요,아주 잘쓰고있어요,재구매튼튼해서 두개나 시켰어요,남편이 이게 최고래요세폴보다 좋아요친정에도 설치하려고 샀어요짱,,,,,
ANAL-211104-0140,1,1,튼튼하고 설치도 쉽고 다른 안전문에 비해 턱이 낮아 다니기는 좋지만 문을 들어올려서 열어야하는 점이 조금 불편해요 처음에는 적응안되서 양손으로 열었는데 지금은 한손으로도 힘이 조금 들지만 가능은 합니다 아기가 혼자서는 절대 열지 못할 것 같아요,견고하고설치가간편함원래있던 안전가드보다 훨씬 튼튼해요신생아일때 반려동물이 있으면 친해지기 전까지는 유용하게 사용할수 있을거같아요제품 설치도 간단하고 화이트색상이라 인테리어에 영향도 없어서 오래 쓸 것 같아요,든든하고좋아요,,,,,,,
ANAL-211104-0022,0,0,좋아요,소리,의자,너무,만족합니다,17.55,6.45,5.71,5.6,5.18
ANAL-211104-0022,1,0,항상쓰는거예요,원래 사용 하던 재품이예요,반신반의했는데  꽉 끼어지기도하고  정말 소리가 안나네요,자로 센치 측정하고 구매했는데  생각보다 너무 작은게 와서 놀랐네요,의자 끌때마다 소리가 나서 아랫집한테 미안하고 스트레스였는데상품 넘 좋아요,,,,,
ANAL-211104-0022,0,1,의자,좋아요,소리,너무,사이즈,27.48,25.55,15.95,13.31,9.41
ANAL-211104-0022,1,1,의자가 무거워 움직일때마다 소리가 나서 신경 쓰였는데 끼우고 나니 부드럽게 움직이고 소리도 전혀 안 나서 정말 좋습니다,의자 끄는 소리 때문에 아랫집에 혹여 피해를 줄까싶어 구매했어요,끌어도 소리 안나서 이제 안심이예요,넘좋아요바닥에 긁힘이나 자국이 나지않고 의자 끄는 소리도 나지 않아요,30mm 내외 5mm정도까지 사용가능합니다30mm 이하면 한사이즈 작은거 사용해도 될꺼 같네요,,,,,
ANAL-211104-0086,0,1,콘센트,양면테이프,너무,아기,떨어지,3.29,2.44,2.09,1.7,1.39
ANAL-211104-0086,1,1,뜯어서 부착해봐야 아는건데완전 몹쓸 상태 이쁘기만하구 붙이자말자 떨어지고 사용해봤으니 반품도 못하구 돈만 버린격이에요,안맞아요,접착력거의0첫번째꺼 붙이고 두번째꺼 붙이고있음,접착력 진짜 안좋아요,재포장 제품을 새제품으로 보내면서 양면테이프 하나도 안붙이고 보낸건가요,,,,,
ANAL-211104-0138,0,0,좋아요,설치,너무,아기가,튼튼,22.44,18.99,16.02,13.24,10.67
ANAL-211104-0138,1,0,재구매7개월아기 안전을 위해 현관과 주방 막으려고 샀어요,강아지가 안 나가요,너무 좋아요,아주 좋아요,생각보다 튼튼한거 같고 일직선 아닌 곳에 설치하기 너무 좋네요,,,,,
ANAL-211104-0138,0,1,너무,설치,안전문,아기가,벽에,8.55,7.86,6.19,5.83,4.32
ANAL-211104-0138,1,1,감사합니다,중고물품을산것같아요급하게 필요해서 늘 감사한 로켓배송으로 주문했습니다제품은 빠르게왔지만 반품된 물건 또는 전시상품을 보내주신 것 같네요,허술해보이지만꽤묵직하고튼튼합니다쓰레기 버리는 날이라 현관이 도둑든거마냥 보이네요,중문이없어낙상할까봐설치아기가 걸어다니면서 안돌아다니는 곳이 없네요,약 10mm좀 비싸고 부품도 따로 살수는 없지만 그래도 이만한 제품은 없네요,,,,,
ANAL-211104-0010,0,0,좋아요,아기가,좋네요,너무,배송,17.33,5.13,5.09,4.76,3.88
ANAL-211104-0010,1,0,귀여워요,괜찮아요,붙여놓으니 떨어지지도않고 애기가 딱 거기 머리박앗는데 안울었어요,감사합니다,제품 너무 좋습니다,,,,,
ANAL-211104-0010,0,1,바람,오래,문에,다른,하루만에,1.93,1.67,1.58,1.46,1.34
ANAL-211104-0010,1,1,뺐다 여러번 했더니 한개가 반토막 나서 버렸어요,우리집문에 꼭 맞지않아요,오래쓰길기대해봅니다색상이이뻐요물렁하고만졌을때느낌이부드럽고좋아요,하루만에 뿌러졌어요,그리구 오래쓰면 지속적으로 끼워지는 부분은 찢어 지더라 구요,,,,,
ANAL-211104-0195,0,0,너무,좋아요,맘에,조립,제품도,3.59,3.5,1.92,1.55,1.25
ANAL-211104-0195,1,0,디자인을 잘못보고 그냥 후딱 주문한 제탓이지만요 아기캐어나면 쓰려고 다른것하고 합배송하느라 시켰는데 맨위칸이 그냥 납작한 상판이라 불편할듯  바구니 놓고 사용해야겠네요,깔끔하고 세심한 포장상태와 드라이버가 들어있다는 점에서 조금 감동했어요,요리할때 주방공간이 너무 좁아서 불편했는데 잠시 위에 놓아두기도 하고 자주 사용하는 조미료나 간식거리도 같이 보관 할 수 있어서 너무 좋네요,조립하는 공구까지 들어있어서 변하게 조립 잘 했네요,저는 그냥 다용도 수납함으로 쓰려고 구매했습니다,,,,,
ANAL-211104-0195,1,1,만족스런트롤리현관입구에 두고 마스크정리함으로 쓰려고 주문했어요여자혼자 조립하기도 쉽고 바퀴가 있어서 이동도 편리해요맘에들어요 추천합니다,너무마음에들어요로켓배송답게 배송은 빨랐구요쇼파 옆에 작은 화분 두려고 화분다이화분받침대 등등 검색해보다가 트롤리까지 검색하게됐어요착한 가격에 심플한 디자인에 반해 주문해보았는데 역시나 받아보고나니 마음에 쏙 들어요여자가 혼자 조립해도 될 정도로 조립이 쉽구요최근에 바닥 공사를 해서 마루가 긁히면 너무 속상할텐데 다행히 바퀴가 소음없이 부드럽게 잘 굴러가네요맨 윗칸에 손잡이 구멍이 있어서 거기 잡고 끌면 되요사진은 트롤리 조립하자마자 찍은거라 화분만 올려두었는데칸칸마다 각자 상황에 맞게 물품 수납해도 되겠어요기저귀나 물티슈 손수건 올려둬도 괜찮고주방에서 라면이나 통조림 보관으로 써도 되고아이방에 물감이나 스케치북 등등 교구 보관해도 되구사용가능한 물품이 어마어마 하네요,바퀴가 달려있어 이동이 편리하고 수납바구니가 있어 여러가지 소품 놓기에 최고인듯해요위에는 선반으로 되어있어 화분이나 인테리어 소품 놓기 좋아요,,,,,,,
ANAL-211104-0268,0,0,변기,좋아요,가격,괜찮,,1.6,1.58,0.82,0.69,
ANAL-211104-0268,1,0,변기에 안맞을까봐 고민했는데  헐렁하기는 하지만 맞네요,좋아요,비데에도 속들어가서 좋아요,디자인은 맘에 드는데 남자아이가 사용하기에는 불편할 것 같아요,아기 변기에 따로 용변을 보다가 어른 변기에도 연습 삼아 배변 훈련 하기 위해서 샀어요,,,,,
ANAL-211104-0268,0,1,그래도,변기,아기,좋네요,좋아요,1.94,1.74,1.45,1.44,1.42
ANAL-211104-0268,1,1,변기에안맞아요잘받았어요,저렴한 녀석이라 양 옆에 손잡이가 없어서 변기를 잡게 해야하는데 그래도 어른꺼보다는 애들꺼가 더 깨끗할테니 괜찮겠죠,좋아요넘 귀엽고 색도 이쁘고 비데변기에도 크기가 잘 맞아요,아기변기쓰다가  어른변기 에 앉겠다해서 샀는데변기마다틀려서인지 아이 엉덩이 좀 만움직이면 빠질같음,사용해보니 괜찮아서 친정에서 쓰려고 하나 더 구입했어요,,,,,
ANAL-211104-0155,0,0,좋아,거품,너무,아이가,향도,74.44,72.46,63.73,53.71,39.46
ANAL-211104-0155,1,0,거품도 쫀쫀하고 풍성하고 향도 강하지않고 좋아요,이번엔 자몽향으루 사밧어요,BEST6살아이 혼자 30분동안 거품 목욕 했어요,배송도 빠르고 정말 써보고 싶었어요,원래 쓰던건데떨어져서 샀어요신상 향이 나왔길애 사봤는데 향 좋네요아이가 거품 넣는다고 해서 물이 좀 들어간채로 놔뒀더니 거품이 잘 안나더라구요,,,,,
ANAL-211104-0155,0,1,거품,너무,좋아,향도,향이,40.08,22.34,18.07,12.9,12.14
ANAL-211104-0155,1,1,아끼다 똥됩니다팍팍쓰셔서 거품을 즐기세요미끌미끌한게 몸에 코팅되는데 헹굴때 잘헹구고 나오세요씻고나와도살속에베인향이 은은하니 좋아요,향도 강하진 않고 아이 거품목욕 해주기 딱이었어요,끝나고 나오면 미끌하지도 뽀득하지도 않아서 아기용으로 좋은거같아요다른향은 안써봐서 모르겠지만 저는 이거 괜찮아서 담에 또 사도 그냥 자몽향 사려구요,머리도 감기면 좀 뻣뻣해지는 느낌이라 머리는 따로 감겼어요,거품 잘나오요 20분 정도 있으면 서서히 거품이 꺼지기 시작하는데 샤워기해주면 또 거품이 생겨요성분도 좋아서 아이들 씻고 뭐 올라오지도 않았어요,,,,,
ANAL-211104-0076,0,0,좋아요,좋습니다,감사합니다,아기가,좋네요,6.54,2.59,2.18,1.82,1.81
ANAL-211104-0076,1,0,재구매매우 좋아요,짧은거도 나왔음 좋겠어요,무당벌레도 사고 이거도 샀는데 아가가 있어서 피아노 뚜껑을 피아노랑 연결해서 앞으로 못넘어오개 했어요,화면 그대로고요주문한 상품 모두 만족해요사은품도 맘에 들어요많이 파시고요또 사러 올께요,좋아요,,,,,
ANAL-211104-0076,0,1,문을,자꾸,냉장고,여니,괜찮,3.47,2.13,1.93,1.91,1.58
ANAL-211104-0076,1,1,이제 돌이 된아간데 문을 열어버리네요또 다른 잠금장치를 찾아떠나야겠어요,제 기능을 하기에 너무 부실하네요,잠금장치 세번째 쓰는건데 이게 젤 좋아요양면테잎도 쓰리엠이라 잘붙어요은근 힘줘서 열어야 되서 아기가 열기 힘들듯설치전에 시험삼아 열어보다 손톱 부러졌어요,만 12개월 된 아들이 하도 냉장고 문을 열기에 구매해 봤는데정말 짜증나요너무 쉽게 열어버리네요이건 뭐 붙인거나 안 붙인거나 똑같으니 비싼 제품은 아니지만 돈이 정말 아깝습니다환불받고 싶어요,제 기능을 하기에 너무 부실하네요 ㅠㅠ,,,,,
ANAL-211104-0100,1,1,선은 랜선기준 한줄 들어갑니다,연질몰드인데 딱딱해서 쓰기힘들고 직경 1cm도 아닙니다랜선한개도 빡빡하게 겨우 들어감멀티탭선은 보통 악력으로 못 넣어요,선은 랜선기준 한줄 들어갑니다,,,,,,,
ANAL-211104-0122,0,0,유모차,핸드폰,좋아요,아직,거치대,3.03,2.6,2.42,1.91,1.28
ANAL-211104-0122,1,0,잘 받았습니다,잘 사용하고 있습니다,조심해서 사용하면 편리할듯합니다,예쁘고 찍찍이라서 아무 유모차에나 잘 맞을 것 같아요,유모차에 설치하려고 샀어요매번 손으로 들고다니니 불편해서요,,,,,
ANAL-211104-0122,0,1,같아요,눌러,고정이,유모차,좋아,1.37,1.21,1.09,0.94,0.86
ANAL-211104-0122,1,1,구매함잘쓰고 있어요유모차안에 오래있어야할땐 딱이네요,괜찮다했는데핸드폰거치되지않을때 부러져서 그나마 다행일까요저렴한데는 이유가있는거 같아요,휴댜폰 올려두고 손으로 벌어진 양옆 바를 눌러서 밀착 고정 시키면 됩니다 등받이쪽이생각보다 짧아서 노트 끼우니 불안해 보였는데 그래도 꽉 잡아줘서 안떨어지네요,블랙을 좋아해서 유모차가 블랙인데 넘나 튀어요,,,,,,
ANAL-211104-0055,0,0,좋아요,아기가,좋네요,재구매,배송,62.54,16.25,14.38,12.52,11.41
ANAL-211104-0055,1,0,재구매재구매해요,아주 맘에 쏙 들어요,모양이 좀  삐뚜네요,재구매잘사용하고있어요,고급 안전하고 좋아요,,,,,
ANAL-211104-0055,0,1,좋아요,아기가,모서리,너무,좋네요,23.46,18.55,17.79,12.99,8.52
ANAL-211104-0055,1,1,아이가 며칠전 책상 모서리에 눈 주변을 부딪쳐서 급하게 주문했어요,몰딩 모서리에 붙였는데 생각했던것보다 커서 보호대만 생뚱맞게 나와있어요,두꺼워서 좋네요,모서리만 딱 보호할수있어서 크게 지저분해보이지도않구요,상품평에 아기가 뜯는다고 되어있던데 그건 아직 모르겠고 깔끔한 디자인과 도톰함 아주 맘에 들어요,,,,,
ANAL-211104-0094,0,0,감사합니다,빠른,깔끔,,,2.13,1.32,1.0,,
ANAL-211104-0094,1,0,박스가 구겨지면서 관도 같이 구부러져서 왔네요,빠른배송 만족합니다,,,,,,,,
ANAL-211104-0255,0,1,색상,붙이,화이트,굽도리,장판,1.75,1.7,1.64,1.63,1.56
ANAL-211104-0255,1,1,작업이쉽고가격도좋습니다정말 대만족입니다,해본거라 삐뚤빼뚤 이상하긴 하지만 그래도 이정도면 나쁘지않다고 생각해요장판이랑 벽 사이에 잔뜩 낄 먼지들도 걱정 안해도되니까 이제 한시름 놓고 잘 수 있겠어요,재질이좋고 두껍네요,붙일 때 차분히 선 잘 맞추시면서 붙이세요,잘받았습니다,,,,,
ANAL-211104-0054,0,0,좋아요,모서리,재구매,아기가,좋네요,60.66,13.94,13.35,12.79,11.32
ANAL-211104-0054,1,0,좋아요,배송이 엄청 빠르네요,쿠션감 굿굿,만족합니다,폭신폭신해서 아이가 다치지 않아요,,,,,
ANAL-211104-0054,0,1,좋아요,아기가,모서리,제품,너무,5.37,5.03,4.29,2.95,2.95
ANAL-211104-0054,1,1,양면테이프가 모서리보호대에 붙어있질 않아요,폭이 좁은 곳은 보호대를 조금 잘라내서 사용했어요,붙이려다가 하나 찢어지는거보고 조심조심 붙였어요,양면테이프도 삼키려해서 어찌나 놀랬던지이 제품은 쿠션감이 있어서 날카로운 모서리부분이 가려져서 안심이에요,별로에요전에 썼던 코너보호대보다 뭐랄까 약간  탱탱하지도 않고 흐물흐물하다고해야하나요,,,,,
ANAL-211104-0009,0,0,좋아요,문에,색상,너무,만족합니다,4.74,2.78,1.75,1.55,1.52
ANAL-211104-0009,1,0,좋아요,색상은 선택의 여지가 없이 주황색인데 용도면에서 선택한거라 상관은 없어요,깔끔한 파스텔톤이라 어느 문에서나 다 어울릴듯 싶네요좀 말랑말랑하긴 한데  문에 딱 맞아요,문이 바람때문에 갑자기 닫혀도 소리가 안 나서 너무 좋아요,맘에들어요,,,,,
ANAL-211104-0009,0,1,이건,좋아요,문에,제품,있는,2.21,2.18,2.04,1.64,1.5
ANAL-211104-0009,1,1,소재를더단단한걸로제작해주세요예전에 사용하던 제품이 있는데 모양이 똑같아구매했는데 소재가 달라요  어떤분처럼  바람에  박살났어요,병원에서 쓰는거보고 바로 주문했네요너무 좋아요,이거쓰다딴거는못쓰겠어요견고하고잘안찢어지네요이거 쓰다 딴거는 못쓰겠어요,일반 얇은 도어쿠션들 보다 좋습니다,문에 착색됐다 그래서 걍 별 기대 안핸는데 기대가 없어서 인지 전 만족합니다전에 피망모양은 구입한날 찢어먹어서 그것보단 오래쓰면 다행이라 생각하고 있었는데 이제 안찢어지는걸 알고 문도 안닫아서 더이상 안사도 될거 같아요,,,,,
ANAL-211104-0120,0,0,설치,,,,,0.7,,,,
ANAL-211104-0120,1,0,아직 차에 설치해보진 않았는데 색상자체가 너무 예뻐서 아주 만족합니다,배송후 바로 설치하려했으나저희 차는 안되네요가지고있다,좋아요,튼튼하기는 하지만 어색한지 아이들이 자꾸 손대서 삐뚤삐둘해집니다,사길 잘했어요,,,,,
ANAL-211104-0120,1,1,8살 아이 예전부터 사용하고 있고 둘째꺼도 추가주문했어요 색상도 펠리세이드내부색상이랑 같고 아이도 자다가 목 안꺾이고 편하다고 합니다 ㅎ,8살 아이 예전부터 사용하고 있고 둘째꺼도 추가주문했어요 색상도 펠리세이드내부색상이랑 같고 아이도 자다가 목 안꺾이고 편하다고 합니다 ,쿠션감도 좋고 쿠션 사이즈도 적당하고 좋은거 같습니다 제가 직접 누워봤지만  어른이 사용해도 무방할 사이즈 입니다,설치가 조금 어렵게 느껴졌으나 그건 내가 조립바보라서설치 간단하고 좋아용아이가 정말루 맘에 들어합니다 이제 목 안꺾인다면서,,,,,,
ANAL-211104-0065,0,0,좋아요,구성이,아직,너무,사용,6.09,5.65,3.49,3.23,2.2
ANAL-211104-0065,1,0,보관하기좋네요,구성이 좋아서 샀어요,구성이 좋아요,필요한 것들이 다 한통에 세트로 들어있어 구성이 매우 좋다고 생각됨한 통에 보관하기 좋아서 그것도 만족 배송도 빨랐고 포장도 꼼꼼 박스에 각 제품별 용도와 설명  사용가능 온도까지 설명되어 있는게 좋네요,아기 손톱이 너무 작아서 깎을 때 살짝 겁이 날것 같지만 잘 써보겠습니다,,,,,
ANAL-211104-0065,0,1,위생용품,신생아,너무,진짜,정리세트,3.0,2.38,2.25,2.02,1.82
